PacketID,SensorGenTime_ms,ProcessingTime_ms,TransmissionTime_ms
226,0.002,0.003,0.131
227,0.013,0.040,0.218
228,0.004,0.007,0.255
229,0.005,0.008,0.234
230,0.003,0.005,0.179
231,0.004,0.007,0.287
232,0.003,0.005,0.554
233,0.002,0.003,0.201
234,0.004,0.006,0.158
235,0.003,0.127,0.198
236,0.003,0.002,0.136
237,0.002,0.003,0.097
238,0.001,0.002,0.106
239,0.001,0.002,0.097
240,0.002,0.003,0.095
241,0.003,0.007,0.193
242,0.002,0.003,0.134
243,0.002,0.002,0.086
244,0.002,0.001,0.079
245,0.002,0.001,0.146
246,0.001,0.002,0.072
247,0.001,0.002,0.095
248,0.001,0.002,0.097
249,0.032,0.001,0.083
250,0.001,0.002,0.083
251,0.003,0.006,0.324
252,0.069,0.006,0.182
253,0.002,0.003,0.080
254,0.001,0.002,0.102
255,0.001,0.002,0.097
256,0.001,0.002,0.078
257,0.001,0.002,0.073
258,0.001,0.002,0.094
259,0.006,0.002,0.243
260,0.001,0.002,0.092
261,0.002,0.002,0.075
262,0.001,0.001,0.085
263,0.001,0.002,0.080
264,0.001,0.002,0.072
265,0.001,0.001,0.072
266,0.001,0.002,0.077
267,0.001,0.001,0.066
268,0.002,0.001,0.084
269,0.001,0.002,0.084
270,0.001,0.002,0.079
271,0.001,0.057,0.265
272,0.002,0.002,0.240
273,0.004,0.003,0.107
274,0.005,0.008,0.543
275,0.003,0.004,0.102
276,0.003,0.002,0.089
277,0.002,0.003,0.086
278,0.001,0.002,0.077
279,0.034,0.003,0.103
280,0.033,0.003,0.089
281,0.001,0.002,0.090
282,0.001,0.002,0.080
283,0.001,0.002,0.095
284,0.002,0.002,0.098
285,0.002,0.002,0.104
286,0.002,0.002,0.090
287,0.001,0.001,0.072
288,0.001,0.001,0.069
289,0.001,0.002,0.070
290,0.001,0.001,0.072
291,0.001,0.002,0.186
292,0.003,0.021,0.219
293,0.004,0.011,0.167
294,0.003,0.006,0.133
295,0.001,0.002,0.077
296,0.001,0.002,0.070
297,0.001,0.006,0.244
298,0.001,0.002,0.077
299,0.001,0.002,0.071
300,0.001,0.002,0.075
301,0.002,0.002,0.067
302,0.003,0.015,0.122
303,0.001,0.002,0.066
304,0.005,0.005,0.171
305,0.006,0.005,0.160
306,0.005,0.004,0.151
307,0.057,0.005,0.164
308,0.001,0.002,0.082
309,0.003,0.006,0.491
310,0.064,0.005,0.210
311,0.003,0.004,0.158
312,0.003,0.005,0.385
313,0.004,0.006,0.311
314,0.002,0.002,0.098
315,0.002,0.001,0.095
316,0.003,0.006,0.181
317,0.004,0.006,0.186
318,0.004,0.003,0.160
319,0.003,0.006,0.192
320,0.004,0.005,0.774
321,0.005,0.005,0.189
322,0.004,0.005,0.187
323,0.004,0.007,0.233
324,0.006,0.004,0.240
325,0.005,0.010,2.222
326,0.003,0.025,1.163
327,0.001,0.001,6.527
328,0.001,0.001,1.077
329,0.001,0.001,0.092
330,0.036,0.003,3.674
331,0.003,0.003,0.555
332,0.002,0.002,6.855
333,0.003,0.004,2.179
334,0.001,0.001,0.283
335,0.003,0.003,0.101
336,0.005,0.006,0.567
337,0.001,0.001,1.405
338,0.003,0.002,0.115
339,0.003,0.003,0.111
340,0.003,0.003,0.264
341,0.025,0.004,0.374
342,0.034,0.003,0.108
343,0.002,0.002,0.094
344,0.001,0.002,0.090
345,0.002,0.002,0.119
346,0.004,0.006,0.205
347,0.005,0.005,0.162
348,0.004,0.009,0.209
349,0.004,0.006,0.201
350,0.003,0.005,0.182
351,0.004,0.006,0.201
352,0.003,0.005,0.169
353,0.005,0.008,1.850
354,0.003,0.005,0.326
355,0.003,0.004,0.123
356,0.001,0.002,0.087
357,0.005,0.006,0.181
358,0.005,0.003,0.171
359,0.004,0.007,0.197
360,0.074,0.004,0.176
361,0.004,0.006,0.187
362,0.003,0.005,0.189
363,0.003,0.005,0.164
364,0.004,0.006,0.226
365,0.004,0.011,0.253
366,0.006,0.009,0.310
367,0.005,0.008,0.274
368,0.011,0.008,0.282
369,0.005,0.010,0.317
370,0.005,0.008,0.376
371,0.005,0.009,0.312
372,0.005,0.008,0.331
373,0.116,0.011,0.340
374,0.004,0.007,0.340
375,0.005,0.009,0.528
376,0.005,0.003,0.187
377,0.004,0.006,0.431
378,0.004,0.007,0.234
379,0.005,0.044,0.250
380,0.005,0.008,0.224
381,0.005,0.009,0.249
382,0.006,0.011,0.288
383,0.007,0.013,0.367
384,0.007,0.190,0.472
385,0.005,0.007,0.216
386,0.005,0.008,0.282
387,0.006,0.010,0.339
388,0.005,0.006,0.217
389,0.058,0.010,0.361
390,0.006,0.007,0.262
391,0.006,0.037,0.374
392,0.005,0.008,0.268
393,0.005,0.008,0.268
394,0.006,0.010,0.474
395,0.004,0.128,1.882
396,0.005,0.008,0.235
397,0.004,0.006,0.211
398,0.005,0.003,0.224
399,0.005,0.007,0.207
400,0.004,0.006,0.195
401,0.004,0.006,0.211
402,0.220,0.009,0.291
403,0.006,0.009,0.310
